date,region_id,account_id,value_actual,value_budget,variance,variance_pct,material
2024-01-01,APAC,COGS,-303612.9902993109,-297540.7304933247,-6072.259805986192,0.020408163265306034,False
2024-01-01,APAC,IT,-9166.666666666666,-8891.666666666666,-275.0,0.030927835051546393,False
2024-01-01,APAC,MARKETING,-18333.33333333333,-17783.333333333332,-549.9999999999964,0.030927835051546188,False
2024-01-01,APAC,PAYROLL,-70833.33333333331,-68708.33333333331,-2125.0,0.0309278350515464,False
2024-01-01,APAC,REV,645985.0857432148,671824.4891729434,-25839.403429728583,-0.03846153846153845,False
2024-01-01,APAC,TRAVEL,-6250.0,-6062.5,-187.5,0.030927835051546393,False
2024-01-01,EU,COGS,-357843.53505066107,-350686.6643496479,-7156.870701013191,0.020408163265306034,False
2024-01-01,EU,IT,-9166.666666666666,-8891.666666666666,-275.0,0.030927835051546393,False
2024-01-01,EU,MARKETING,-18333.33333333333,-17783.333333333332,-549.9999999999964,0.030927835051546188,False
2024-01-01,EU,PAYROLL,-70833.33333333331,-68708.33333333331,-2125.0,0.0309278350515464,False
2024-01-01,EU,REV,761369.223512045,791823.9924525269,-30454.76894048194,-0.03846153846153863,False
2024-01-01,EU,TRAVEL,-6250.0,-6062.5,-187.5,0.030927835051546393,False
2024-01-01,OTHER,COGS,-252670.0360757496,-247616.6353542346,-5053.400721515005,0.020408163265306176,False
2024-01-01,OTHER,IT,-9166.666666666666,-8891.666666666666,-275.0,0.030927835051546393,False
2024-01-01,OTHER,MARKETING,-18333.33333333333,-17783.333333333332,-549.9999999999964,0.030927835051546188,False
2024-01-01,OTHER,PAYROLL,-70833.33333333331,-68708.33333333331,-2125.0,0.0309278350515464,False
2024-01-01,OTHER,REV,537595.821437765,559099.6542952758,-21503.832857510773,-0.038461538461538755,False
2024-01-01,OTHER,TRAVEL,-6250.0,-6062.5,-187.5,0.030927835051546393,False
2024-02-01,APAC,COGS,-365033.8819635181,-357733.2043242477,-7300.677639270376,0.020408163265306162,False
2024-02-01,APAC,IT,-9166.666666666666,-8891.666666666666,-275.0,0.030927835051546393,False
