date,region_id,product_id,driver,impact
2024-01-01,APAC,P01,volume_effect,0.0
2024-01-01,APAC,P02,volume_effect,0.0
2024-01-01,APAC,P03,volume_effect,0.0
2024-01-01,APAC,P04,volume_effect,0.0
2024-01-01,EU,P01,volume_effect,0.0
2024-01-01,EU,P02,volume_effect,0.0
2024-01-01,EU,P03,volume_effect,0.0
2024-01-01,EU,P04,volume_effect,0.0
2024-01-01,OTHER,P01,volume_effect,0.0
2024-01-01,OTHER,P02,volume_effect,0.0
2024-01-01,OTHER,P03,volume_effect,0.0
2024-01-01,OTHER,P04,volume_effect,0.0
2024-02-01,APAC,P01,volume_effect,0.0
2024-02-01,APAC,P02,volume_effect,0.0
2024-02-01,APAC,P03,volume_effect,0.0
2024-02-01,APAC,P04,volume_effect,0.0
2024-02-01,EU,P01,volume_effect,0.0
2024-02-01,EU,P02,volume_effect,0.0
2024-02-01,EU,P03,volume_effect,0.0
2024-02-01,EU,P04,volume_effect,0.0
2024-02-01,OTHER,P01,volume_effect,0.0
2024-02-01,OTHER,P02,volume_effect,0.0
2024-02-01,OTHER,P03,volume_effect,0.0
2024-02-01,OTHER,P04,volume_effect,0.0
2024-03-01,APAC,P01,volume_effect,0.0
2024-03-01,APAC,P02,volume_effect,0.0
2024-03-01,APAC,P03,volume_effect,0.0
2024-03-01,APAC,P04,volume_effect,0.0
2024-03-01,EU,P01,volume_effect,0.0
2024-03-01,EU,P02,volume_effect,0.0
2024-03-01,EU,P03,volume_effect,0.0
2024-03-01,EU,P04,volume_effect,0.0
2024-03-01,OTHER,P01,volume_effect,0.0
2024-03-01,OTHER,P02,volume_effect,0.0
2024-03-01,OTHER,P03,volume_effect,0.0
2024-03-01,OTHER,P04,volume_effect,0.0
2024-04-01,APAC,P01,volume_effect,0.0
2024-04-01,APAC,P02,volume_effect,0.0
2024-04-01,APAC,P03,volume_effect,0.0
2024-04-01,APAC,P04,volume_effect,0.0
2024-04-01,EU,P01,volume_effect,0.0
2024-04-01,EU,P02,volume_effect,0.0
2024-04-01,EU,P03,volume_effect,0.0
2024-04-01,EU,P04,volume_effect,0.0
2024-04-01,OTHER,P01,volume_effect,0.0
