,date,region_id,account_id,value_actual,value_budget,variance,variance_pct,material,rolling_mean,rolling_std,z_score,anomaly
0,2024-01-01,APAC,COGS,-303612.9902993109,-297540.7304933247,-6072.259805986191,0.020408163265306038,False,,,,False
18,2024-02-01,APAC,COGS,-365033.8819635181,-357733.2043242477,-7300.677639270376,0.02040816326530616,False,,,,False
36,2024-03-01,APAC,COGS,-306459.9130308284,-300330.71477021184,-6129.198260616568,0.020408163265306128,False,,,,False
54,2024-04-01,APAC,COGS,-385567.2113669032,-377855.867139565,-7711.34422733815,0.02040816326530636,False,-6500.711901957712,693.3753547390978,-1.745998494330639,False
72,2024-05-01,APAC,COGS,-573627.6067643261,-562155.0546290396,-11472.552135286503,0.02040816326530609,False,-6803.369983302822,828.8067196399842,-5.633620048365286,True
90,2024-06-01,APAC,COGS,-294409.92501379905,-288521.7265135231,-5888.198500275961,0.02040816326530605,False,-7737.206413699559,2208.0404950025004,0.8373976462879608,False
108,2024-07-01,APAC,COGS,-406492.53939933307,-398362.6886113464,-8129.850787986652,0.0204081632653061,False,-7429.038428128959,2114.2751254367436,-0.3314669654040067,False
126,2024-08-01,APAC,COGS,-425512.611754334,-417002.35951924726,-8510.252235086751,0.020408163265306298,False,-7771.970258462369,2014.7194754056225,-0.3664440561759815,False
144,2024-09-01,APAC,COGS,-400041.432434748,-392040.60378605296,-8000.828648695025,0.02040816326530629,False,-7973.566024431765,2018.641684393561,-0.01350543014841675,False
162,2024-10-01,APAC,COGS,-192893.0245202481,-189035.1640298431,-3857.860490405001,0.02040816326530633,False,-8285.504422444841,1810.513113313882,2.4455188418578637,False
180,2024-11-01,APAC,COGS,-312591.51717526524,-306339.68683176,-6251.830343505251,0.020408163265305944,False,-7643.257132955982,2576.4033085507854,0.5400655964199185,False
198,2024-12-01,APAC,COGS,-382040.4043303961,-374399.59624378814,-7640.8080866079545,0.02040816326530621,False,-6773.136834325774,1784.3308175646628,-0.4862726371931516,False
216,2025-01-01,APAC,COGS,-333171.9202614095,-326508.4818561813,-6663.438405228197,0.020408163265306145,False,-7065.238432047772,1753.6806903863937,0.2291181222569348,False
234,2025-02-01,APAC,COGS,-304511.55777400674,-298421.3266185266,-6090.231155480142,0.020408163265306145,False,-6820.836368254696,1676.1043762001864,0.4358948184544887,False
