date,region_id,account_id,value
2024-01-01,APAC,REV,652444.9366006469
2024-01-01,APAC,COGS,-302094.92534781434
2024-01-01,APAC,PAYROLL,-70302.08333333333
2024-01-01,APAC,MARKETING,-18195.833333333332
2024-01-01,APAC,IT,-9097.916666666666
2024-01-01,APAC,TRAVEL,-6203.125
2024-01-01,EU,REV,768982.9157471654
2024-01-01,EU,COGS,-356054.31737540785
2024-01-01,EU,PAYROLL,-70302.08333333333
2024-01-01,EU,MARKETING,-18195.833333333332
2024-01-01,EU,IT,-9097.916666666666
2024-01-01,EU,TRAVEL,-6203.125
2024-01-01,NA,REV,842754.1517788447
2024-01-01,NA,COGS,-390211.8604746304
2024-01-01,NA,PAYROLL,-70302.08333333333
2024-01-01,NA,MARKETING,-18195.833333333332
2024-01-01,NA,IT,-9097.916666666666
2024-01-01,NA,TRAVEL,-6203.125
2024-01-01,OTHER,REV,542971.7796521428
2024-01-01,OTHER,COGS,-251406.68589537084
2024-01-01,OTHER,PAYROLL,-70302.08333333333
2024-01-01,OTHER,MARKETING,-18195.833333333332
2024-01-01,OTHER,IT,-9097.916666666666
2024-01-01,OTHER,TRAVEL,-6203.125
2024-02-01,APAC,REV,784434.5123045815
2024-02-01,APAC,COGS,-363208.71255370043
2024-02-01,APAC,PAYROLL,-70302.08333333333
2024-02-01,APAC,MARKETING,-18195.833333333332
2024-02-01,APAC,IT,-9097.916666666666
2024-02-01,APAC,TRAVEL,-6203.125
2024-02-01,EU,REV,817937.9195645358
2024-02-01,EU,COGS,-378721.45354886644
2024-02-01,EU,PAYROLL,-70302.08333333333
2024-02-01,EU,MARKETING,-18195.833333333332
2024-02-01,EU,IT,-9097.916666666666
2024-02-01,EU,TRAVEL,-6203.125
2024-02-01,NA,REV,1015802.9337676131
2024-02-01,NA,COGS,-470336.8732439844
2024-02-01,NA,PAYROLL,-70302.08333333333
2024-02-01,NA,MARKETING,-18195.833333333332
2024-02-01,NA,IT,-9097.916666666666
2024-02-01,NA,TRAVEL,-6203.125
2024-02-01,OTHER,REV,893895.2161911423
2024-02-01,OTHER,COGS,-413891.18599186896
2024-02-01,OTHER,PAYROLL,-70302.08333333333
2024-02-01,OTHER,MARKETING,-18195.833333333332
2024-02-01,OTHER,IT,-9097.916666666666
2024-02-01,OTHER,TRAVEL,-6203.125
2024-03-01,APAC,REV,658562.7918322058
2024-03-01,APAC,COGS,-304927.6134656743
2024-03-01,APAC,PAYROLL,-70302.08333333333
2024-03-01,APAC,MARKETING,-18195.833333333332
2024-03-01,APAC,IT,-9097.916666666666
2024-03-01,APAC,TRAVEL,-6203.125
2024-03-01,EU,REV,712703.3975362881
2024-03-01,EU,COGS,-329995.78599786654
2024-03-01,EU,PAYROLL,-70302.08333333333
2024-03-01,EU,MARKETING,-18195.833333333332
2024-03-01,EU,IT,-9097.916666666666
2024-03-01,EU,TRAVEL,-6203.125
2024-03-01,NA,REV,952181.5776397556
2024-03-01,NA,COGS,-440878.92552795215
2024-03-01,NA,PAYROLL,-70302.08333333333
2024-03-01,NA,MARKETING,-18195.833333333332
2024-03-01,NA,IT,-9097.916666666666
2024-03-01,NA,TRAVEL,-6203.125
2024-03-01,OTHER,REV,658912.4767390105
2024-03-01,OTHER,COGS,-305089.5245019785
2024-03-01,OTHER,PAYROLL,-70302.08333333333
2024-03-01,OTHER,MARKETING,-18195.833333333332
2024-03-01,OTHER,IT,-9097.916666666666
2024-03-01,OTHER,TRAVEL,-6203.125
2024-04-01,APAC,REV,828559.3265544089
2024-04-01,APAC,COGS,-383639.3753100686
2024-04-01,APAC,PAYROLL,-70302.08333333333
2024-04-01,APAC,MARKETING,-18195.833333333332
2024-04-01,APAC,IT,-9097.916666666666
2024-04-01,APAC,TRAVEL,-6203.125
2024-04-01,EU,REV,772883.3092353935
2024-04-01,EU,COGS,-357860.276795972
2024-04-01,EU,PAYROLL,-70302.08333333333
2024-04-01,EU,MARKETING,-18195.833333333332
2024-04-01,EU,IT,-9097.916666666666
2024-04-01,EU,TRAVEL,-6203.125
2024-04-01,NA,REV,962668.0268467136
2024-04-01,NA,COGS,-445734.3591632333
2024-04-01,NA,PAYROLL,-70302.08333333333
2024-04-01,NA,MARKETING,-18195.833333333332
2024-04-01,NA,IT,-9097.916666666666
2024-04-01,NA,TRAVEL,-6203.125
2024-04-01,OTHER,REV,926574.662625056
2024-04-01,OTHER,COGS,-429022.4168085222
2024-04-01,OTHER,PAYROLL,-70302.08333333333
2024-04-01,OTHER,MARKETING,-18195.833333333332
2024-04-01,OTHER,IT,-9097.916666666666
2024-04-01,OTHER,TRAVEL,-6203.125
2024-05-01,APAC,REV,1232689.1124084454
2024-05-01,APAC,COGS,-570759.4687305045
2024-05-01,APAC,PAYROLL,-70302.08333333333
2024-05-01,APAC,MARKETING,-18195.833333333332
2024-05-01,APAC,IT,-9097.916666666666
2024-05-01,APAC,TRAVEL,-6203.125
2024-05-01,EU,REV,992034.2641391739
2024-05-01,EU,COGS,-459331.50853929174
2024-05-01,EU,PAYROLL,-70302.08333333333
2024-05-01,EU,MARKETING,-18195.833333333332
2024-05-01,EU,IT,-9097.916666666666
2024-05-01,EU,TRAVEL,-6203.125
