date,region_id,account_id,value
2024-01-01,APAC,REV,671824.4891729434
2024-01-01,APAC,COGS,-297540.7304933247
2024-01-01,APAC,PAYROLL,-68708.33333333333
2024-01-01,APAC,MARKETING,-17783.333333333332
2024-01-01,APAC,IT,-8891.666666666666
2024-01-01,APAC,TRAVEL,-6062.5
2024-01-01,EU,REV,791823.9924525268
2024-01-01,EU,COGS,-350686.6643496479
2024-01-01,EU,PAYROLL,-68708.33333333333
2024-01-01,EU,MARKETING,-17783.333333333332
2024-01-01,EU,IT,-8891.666666666666
2024-01-01,EU,TRAVEL,-6062.5
2024-01-01,NA,REV,867786.4533168301
2024-01-01,NA,COGS,-384329.26961320377
2024-01-01,NA,PAYROLL,-68708.33333333333
2024-01-01,NA,MARKETING,-17783.333333333332
2024-01-01,NA,IT,-8891.666666666666
2024-01-01,NA,TRAVEL,-6062.5
2024-01-01,OTHER,REV,559099.6542952758
2024-01-01,OTHER,COGS,-247616.6353542346
2024-01-01,OTHER,PAYROLL,-68708.33333333333
2024-01-01,OTHER,MARKETING,-17783.333333333332
2024-01-01,OTHER,IT,-8891.666666666666
2024-01-01,OTHER,TRAVEL,-6062.5
2024-02-01,APAC,REV,807734.5473235294
2024-02-01,APAC,COGS,-357733.20432424766
2024-02-01,APAC,PAYROLL,-68708.33333333333
2024-02-01,APAC,MARKETING,-17783.333333333332
2024-02-01,APAC,IT,-8891.666666666666
2024-02-01,APAC,TRAVEL,-6062.5
2024-02-01,EU,REV,842233.1052941754
2024-02-01,EU,COGS,-373012.08490240114
2024-02-01,EU,PAYROLL,-68708.33333333333
2024-02-01,EU,MARKETING,-17783.333333333332
2024-02-01,EU,IT,-8891.666666666666
2024-02-01,EU,TRAVEL,-6062.5
2024-02-01,NA,REV,1045975.2981369483
2024-02-01,NA,COGS,-463246.3676171907
2024-02-01,NA,PAYROLL,-68708.33333333333
2024-02-01,NA,MARKETING,-17783.333333333332
2024-02-01,NA,IT,-8891.666666666666
2024-02-01,NA,TRAVEL,-6062.5
2024-02-01,OTHER,REV,920446.5592463248
2024-02-01,OTHER,COGS,-407651.6203739011
2024-02-01,OTHER,PAYROLL,-68708.33333333333
2024-02-01,OTHER,MARKETING,-17783.333333333332
2024-02-01,OTHER,IT,-8891.666666666666
2024-02-01,OTHER,TRAVEL,-6062.5
2024-03-01,APAC,REV,678124.0628767268
2024-03-01,APAC,COGS,-300330.71477021184
2024-03-01,APAC,PAYROLL,-68708.33333333333
2024-03-01,APAC,MARKETING,-17783.333333333332
2024-03-01,APAC,IT,-8891.666666666666
2024-03-01,APAC,TRAVEL,-6062.5
2024-03-01,EU,REV,733872.8053839008
2024-03-01,EU,COGS,-325020.9751536776
2024-03-01,EU,PAYROLL,-68708.33333333333
2024-03-01,EU,MARKETING,-17783.333333333332
2024-03-01,EU,IT,-8891.666666666666
2024-03-01,EU,TRAVEL,-6062.5
2024-03-01,NA,REV,980464.1987577681
2024-03-01,NA,COGS,-434232.50956521917
2024-03-01,NA,PAYROLL,-68708.33333333333
2024-03-01,NA,MARKETING,-17783.333333333332
2024-03-01,NA,IT,-8891.666666666666
2024-03-01,NA,TRAVEL,-6062.5
2024-03-01,OTHER,REV,678484.1344639317
2024-03-01,OTHER,COGS,-300490.184936622
2024-03-01,OTHER,PAYROLL,-68708.33333333333
2024-03-01,OTHER,MARKETING,-17783.333333333332
2024-03-01,OTHER,IT,-8891.666666666666
2024-03-01,OTHER,TRAVEL,-6062.5
2024-04-01,APAC,REV,853169.9996203814
2024-04-01,APAC,COGS,-377855.867139565
2024-04-01,APAC,PAYROLL,-68708.33333333333
2024-04-01,APAC,MARKETING,-17783.333333333332
2024-04-01,APAC,IT,-8891.666666666666
2024-04-01,APAC,TRAVEL,-6062.5
2024-04-01,EU,REV,795840.2392126826
2024-04-01,EU,COGS,-352465.3982513092
2024-04-01,EU,PAYROLL,-68708.33333333333
2024-04-01,EU,MARKETING,-17783.333333333332
