date,region_id,revenue,cogs,gross profit,payroll,marketing,it,travel,opex,ebitda,ebitda margin,version
2024-01-01,APAC,645985.0857432148,-303612.9902993109,949598.0760425257,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,845014.7427091924,1.3081025574096516,actual
2024-01-01,EU,761369.223512045,-357843.53505066107,1119212.758562706,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,1014629.4252293727,1.332637823931323,actual
2024-01-01,OTHER,537595.821437765,-252670.0360757496,790265.8575135146,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,685682.5241801813,1.2754610375251207,actual
2024-02-01,APAC,776667.833964932,-365033.8819635181,1141701.7159284502,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,1037118.382595117,1.3353435500226276,actual
2024-02-01,EU,809839.5243213227,-380624.57643102156,1190464.1007523444,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,1085880.767419011,1.3408591885275318,actual
2024-02-01,OTHER,885044.7685060815,-415971.0411978583,1301015.8097039398,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,1196432.4763706066,1.351832719592405,actual
2024-03-01,APAC,652042.3681506988,-306459.9130308284,958502.2811815273,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,853918.947848194,1.3096065371795562,actual
2024-03-01,EU,705646.9282537507,-331654.0562792628,1037300.9845330135,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,932717.6511996803,1.3217908473120639,actual
2024-03-01,OTHER,652388.5908307035,-306622.63769043057,959011.228521134,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,854427.8951878008,1.30969165800376,actual
2024-04-01,APAC,820355.7688657512,-385567.21136690315,1205922.9802326544,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,1101339.6468993211,1.3425146609526093,actual
2024-04-01,EU,765230.9992429641,-359658.56964419305,1124889.5688871571,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,1020306.2355538239,1.3333310288830476,actual
2024-04-01,OTHER,917400.656064412,-431178.3083502735,1348578.9644146855,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,1243995.6310813522,1.3560003722016192,actual
2024-05-01,APAC,1220484.2697113322,-573627.6067643261,1794111.8764756583,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,1689528.543142325,1.3843099702890318,actual
2024-05-01,EU,982212.1427120535,-461639.707074665,1443851.8497867184,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,1339268.5164533851,1.3635226629915598,actual
2024-05-01,OTHER,758965.7968726264,-356713.92453013436,1115679.7214027608,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,1011096.3880694276,1.332202837381768,actual
2024-06-01,APAC,626404.0957740407,-294409.92501379905,920814.0207878398,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,816230.6874545065,1.3030417472700258,actual
2024-06-01,EU,726786.0286999977,-341589.43348899885,1068375.4621889966,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250.0,-104583.33333333331,963792.1288556634,1.3261016183533392,actual
