date,region_id,revenue,cogs,gross profit,payroll,marketing,it,travel,opex,ebitda,ebitda margin,version
2024-01-01,APAC,671824.4891729434,-297540.7304933247,969365.2196662681,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,867919.3863329347,1.2918841160455403,budget
2024-01-01,EU,791823.9924525269,-350686.6643496479,1142510.6568021749,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,1041064.8234688416,1.3147679703974842,budget
2024-01-01,OTHER,559099.6542952758,-247616.6353542346,806716.2896495104,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,705270.456316177,1.2614396215378527,budget
2024-02-01,APAC,807734.5473235294,-357733.2043242477,1165467.7516477772,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,1064021.918314444,1.317291580309566,budget
2024-02-01,EU,842233.1052941754,-373012.0849024011,1215245.1901965765,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,1113799.3568632433,1.3224359739151017,budget
2024-02-01,OTHER,920446.5592463248,-407651.6203739011,1328098.179620226,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,1226652.3462868927,1.3326709019275313,budget
2024-03-01,APAC,678124.0628767268,-300330.71477021184,978454.7776469387,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,877008.9443136053,1.293286866407855,budget
2024-03-01,EU,733872.8053839008,-325020.97515367763,1058893.7805375783,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,957447.947204245,1.3046510787429826,budget
2024-03-01,OTHER,678484.1344639317,-300490.184936622,978974.3194005536,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,877528.4860672203,1.2933662579458147,budget
2024-04-01,APAC,853169.9996203814,-377855.867139565,1231025.8667599463,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,1129580.033426613,1.3239800203115681,budget
