date,region_id,revenue,cogs,gross profit,payroll,marketing,it,travel,opex,ebitda,ebitda margin,version
2024-01-01,APAC,665364.6383155113,-299058.79544482124,964423.4337603325,-69239.58333333331,-17920.833333333332,-8960.416666666666,-6109.375,-102230.20833333331,862193.2254269992,1.2958206309397422,forecast_v1
2024-01-01,EU,784210.3002174064,-352475.88202490116,1136686.1822423076,-69239.58333333331,-17920.833333333332,-8960.416666666666,-6109.375,-102230.20833333331,1034455.9739089743,1.3191053134882218,forecast_v1
2024-01-01,OTHER,553723.6960808982,-248879.98553461337,802603.6816155115,-69239.58333333331,-17920.833333333332,-8960.416666666666,-6109.375,-102230.20833333331,700373.4732821782,1.2648428778454421,forecast_v1
2024-02-01,APAC,799967.8689838798,-359558.3737340652,1159526.242717945,-69239.58333333331,-17920.833333333332,-8960.416666666666,-6109.375,-102230.20833333331,1057296.0343846118,1.3216731263564254,forecast_v1
2024-02-01,EU,834134.7100509622,-374915.20778455626,1209049.9178355185,-69239.58333333331,-17920.833333333332,-8960.416666666666,-6109.375,-102230.20833333331,1106819.7095021852,1.3269076279472451,forecast_v1
2024-02-01,OTHER,911596.111561264,-409731.47557989036,1321327.5871411543,-69239.58333333331,-17920.833333333332,-8960.416666666666,-6109.375,-102230.20833333331,1219097.378807821,1.337321828545219,forecast_v1
2024-03-01,APAC,671603.6391952197,-301863.014335366,973466.6535305858,-69239.58333333331,-17920.833333333332,-8960.416666666666,-6109.375,-102230.20833333331,871236.4451972526,1.2972479515466178,forecast_v1
2024-03-01,EU,726816.3361013633,-326679.24543507386,1053495.5815364372,-69239.58333333331,-17920.833333333332,-8960.416666666666,-6109.375,-102230.20833333331,951265.3732031039,1.3088112167451869,forecast_v1
2024-03-01,OTHER,671960.2485556246,-302023.2981250741,973983.5466806988,-69239.58333333331,-17920.833333333332,-8960.416666666666,-6109.375,-102230.20833333331,871753.3383473654,1.2973287336880344,forecast_v1
2024-04-01,APAC,844966.4419317237,-379783.70319639955,1224750.1451281232,-69239.58333333331,-17920.833333333332,-8960.416666666666,-6109.375,-102230.20833333331,1122519.93679479,1.3284787194962868,forecast_v1
2024-04-01,EU,788187.929220253,-354263.69109953026,1142451.6203197832,-69239.58333333331,-17920.833333333332,-8960.416666666666,-6109.375,-102230.20833333331,1040221.41198645,1.3197631851778437,forecast_v1
2024-04-01,OTHER,944922.6757463444,-424710.63372501935,1369633.3094713637,-69239.58333333331,-17920.833333333332,-8960.416666666666,-6109.375,-102230.20833333331,1267403.1011380304,1.3412770522593034,forecast_v1
2024-05-01,APAC,1257098.7978026723,-565023.1926628612,1822121.9904655335,-69239.58333333331,-17920.833333333332,-8960.416666666666,-6109.375,-102230.20833333331,1719891.7821322002,1.3681436853956588,forecast_v1
2024-05-01,EU,1011678.5069934152,-454715.111468545,1466393.6184619602,-69239.58333333331,-17920.833333333332,-8960.416666666666,-6109.375,-102230.20833333331,1364163.410128627,1.3484159253148056,forecast_v1
