date,region_id,revenue actual,cogs actual,gross profit actual,payroll actual,marketing actual,it actual,travel actual,opex actual,ebitda actual,ebitda margin actual,revenue budget,cogs budget,gross profit budget,payroll budget,marketing budget,it budget,travel budget,opex budget,ebitda budget,ebitda margin budget,revenue variance,revenue variance pct,ebitda margin variance pp,cogs variance,cogs variance pct,gross profit variance,gross profit variance pct,payroll variance,payroll variance pct,marketing variance,marketing variance pct,it variance,it variance pct,travel variance,travel variance pct,opex variance,opex variance pct,ebitda variance,ebitda variance pct,ebitda margin variance,ebitda margin variance pct
2024-01-01,APAC,645985.0857432148,-303612.9902993109,949598.0760425257,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250,-104583.33333333331,845014.7427091924,1.3081025574096516,671824.4891729434,-297540.7304933247,969365.2196662681,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,867919.3863329347,1.2918841160455403,-25839.403429728583,-0.03846153846153845,1.6218441364111325,-6072.259805986192,0.020408163265306034,-19767.14362374239,-0.020391843262694942,-2125.0,0.0309278350515464,-549.9999999999964,0.030927835051546188,-275.0,0.030927835051546393,-187.5,0.030927835051546393,-3137.5,0.030927835051546396,-22904.643623742275,-0.026390289218584214,0.016218441364111325,0.01255409921267242
2024-01-01,EU,761369.223512045,-357843.53505066107,1119212.758562706,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250,-104583.33333333331,1014629.4252293727,1.332637823931323,791823.9924525269,-350686.6643496479,1142510.6568021749,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,1041064.8234688416,1.3147679703974842,-30454.76894048194,-0.03846153846153863,1.7869853533838853,-7156.870701013191,0.020408163265306034,-23297.898239468923,-0.020391843262695223,-2125.0,0.0309278350515464,-549.9999999999964,0.030927835051546188,-275.0,0.030927835051546393,-187.5,0.030927835051546393,-3137.5,0.030927835051546396,-26435.398239468923,-0.0253926534097904,0.017869853533838853,0.013591640453818167
2024-01-01,OTHER,537595.821437765,-252670.0360757496,790265.8575135146,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250,-104583.33333333331,685682.5241801813,1.2754610375251207,559099.6542952758,-247616.6353542346,806716.2896495104,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,705270.456316177,1.2614396215378527,-21503.832857510773,-0.038461538461538755,1.4021415987268027,-5053.400721515005,0.020408163265306176,-16450.432135995827,-0.020391843262695185,-2125.0,0.0309278350515464,-549.9999999999964,0.030927835051546188,-275.0,0.030927835051546393,-187.5,0.030927835051546393,-3137.5,0.030927835051546396,-19587.93213599571,-0.02777364620986523,0.014021415987268027,0.011115407941740539
2024-02-01,APAC,776667.833964932,-365033.8819635181,1141701.7159284502,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250,-104583.33333333331,1037118.382595117,1.3353435500226276,807734.5473235294,-357733.2043242477,1165467.7516477772,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,1064021.918314444,1.317291580309566,-31066.713358597364,-0.03846153846153856,1.8051969713061666,-7300.677639270376,0.020408163265306162,-23766.03571932693,-0.020391843262694928,-2125.0,0.0309278350515464,-549.9999999999964,0.030927835051546188,-275.0,0.030927835051546393,-187.5,0.030927835051546393,-3137.5,0.030927835051546396,-26903.53571932693,-0.02528475706773579,0.018051969713061666,0.013703852649554945
2024-02-01,EU,809839.5243213227,-380624.57643102156,1190464.1007523444,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250,-104583.33333333331,1085880.767419011,1.3408591885275318,842233.1052941754,-373012.0849024011,1215245.1901965765,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,1113799.3568632433,1.3224359739151017,-32393.580972852767,-0.038461538461538304,1.8423214612430128,-7612.491528620478,0.02040816326530625,-24781.089444232173,-0.02039184326269468,-2125.0,0.0309278350515464,-549.9999999999964,0.030927835051546188,-275.0,0.030927835051546393,-187.5,0.030927835051546393,-3137.5,0.030927835051546396,-27918.589444232173,-0.02506608508273733,0.018423214612430128,0.013931271513952985
2024-02-01,OTHER,885044.7685060815,-415971.0411978583,1301015.8097039398,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250,-104583.33333333331,1196432.4763706066,1.351832719592405,920446.5592463248,-407651.6203739011,1328098.179620226,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,1226652.3462868927,1.3326709019275313,-35401.790740243276,-0.03846153846153848,1.916181766487357,-8319.420823957189,0.02040816326530618,-27082.369916286087,-0.020391843262694918,-2125.0,0.0309278350515464,-549.9999999999964,0.030927835051546188,-275.0,0.030927835051546393,-187.5,0.030927835051546393,-3137.5,0.030927835051546396,-30219.869916286087,-0.024636051125457338,0.01916181766487357,0.01437850682952449
2024-03-01,APAC,652042.3681506988,-306459.9130308284,958502.2811815273,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250,-104583.33333333331,853918.947848194,1.3096065371795562,678124.0628767268,-300330.71477021184,978454.7776469387,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,877008.9443136053,1.293286866407855,-26081.694726028014,-0.03846153846153855,1.6319670771701267,-6129.198260616569,0.020408163265306128,-19952.496465411386,-0.020391843262694925,-2125.0,0.0309278350515464,-549.9999999999964,0.030927835051546188,-275.0,0.030927835051546393,-187.5,0.030927835051546393,-3137.5,0.030927835051546396,-23089.99646541127,-0.02632811970176969,0.016319670771701267,0.01261875551015968
2024-03-01,EU,705646.9282537507,-331654.0562792628,1037300.9845330135,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250,-104583.33333333331,932717.6511996803,1.3217908473120639,733872.8053839008,-325020.97515367763,1058893.7805375783,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,957447.947204245,1.3046510787429826,-28225.877130150096,-0.038461538461538554,1.7139768569081282,-6633.081125585188,0.020408163265305906,-21592.796004564734,-0.020391843262694886,-2125.0,0.0309278350515464,-549.9999999999964,0.030927835051546188,-275.0,0.030927835051546393,-187.5,0.030927835051546393,-3137.5,0.030927835051546396,-24730.296004564734,-0.025829389552484164,0.017139768569081282,0.013137434865416481
2024-03-01,OTHER,652388.5908307035,-306622.63769043057,959011.228521134,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250,-104583.33333333331,854427.8951878008,1.30969165800376,678484.1344639317,-300490.184936622,978974.3194005536,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,877528.4860672203,1.2933662579458147,-26095.543633228168,-0.0384615384615385,1.632540005794536,-6132.452753808582,0.020408163265306024,-19963.090879419586,-0.020391843262694984,-2125.0,0.0309278350515464,-549.9999999999964,0.030927835051546188,-275.0,0.030927835051546393,-187.5,0.030927835051546393,-3137.5,0.030927835051546396,-23100.590879419586,-0.026324605122448455,0.01632540005794536,0.012622410672653647
2024-04-01,APAC,820355.7688657512,-385567.21136690315,1205922.9802326544,-70833.33333333331,-18333.33333333333,-9166.666666666666,-6250,-104583.33333333331,1101339.6468993211,1.3425146609526093,853169.9996203814,-377855.867139565,1231025.8667599463,-68708.33333333331,-17783.333333333332,-8891.666666666666,-6062.5,-101445.83333333331,1129580.033426613,1.3239800203115681,-32814.230754630174,-0.0384615384615386,1.8534640641041156,-7711.3442273381515,0.02040816326530636,-25102.886527291965,-0.020391843262694904,-2125.0,0.0309278350515464,-549.9999999999964,0.030927835051546188,-275.0,0.030927835051546393,-187.5,0.030927835051546393,-3137.5,0.030927835051546396,-28240.386527291965,-0.02500078408930791,0.018534640641041156,0.01399918454711987
